ID,C,r,n0,lambda,RMSE
ID-101,6.3469452745548685,125.09982763133225,3.5041822544830548,4.987250166437188,56.829794590162415
ID-102,3.608499655296109,76.70951004043664,54.18492884815265,2.7171945509679545,129.13431158072953
ID-103,10.982928638981887,179.34675205919066,0.03397853832392307,5.728406618691428,56.76137456328261
ID-104,4.280874208538407,86.09413396678882,27.661132002220278,3.8812194300782634,54.614777545363594
ID-105,82.00577177506722,326.95081964780803,4.8570864063845944e-33,7.6665222461580775,114.86337684898663
ID-106,5.439656050668533,96.35726724808245,8.681952179642252,5.29703260010312,66.66074342477782
ID-107,13.901162445798912,242.96305133655326,0.0018358274250786912,4.9420610700726755,109.07977109308489
ID-108,17.07733087489916,297.0845421411658,7.663716505794747e-05,4.5513720683785825,100.2635602290966
ID-201,7.2587266060678735,100.90804588836193,1.4080078788216523,7.161625380140069,121.94179148146692
ID-202,4.561731260100797,92.22267589270231,20.8879241358504,4.1302640430553605,63.08952065698444
ID-203,8.864132728480286,89.10590140570756,0.2827392260300104,9.760034143950538,35.95646343611285
ID-204,13.438685346908724,182.46616649291016,0.0029152990121698603,6.444174794859112,71.0182032901209
ID-205,16.279051518061724,137.34115130160035,0.00017026592838422926,9.58867340505849,139.73214066878177
ID-206,4.892490401080201,45.59999382935406,15.005428842569156,9.48260146137139,31.011095318157867
ID-207,3.8098677382700097,9.359731343016088,44.30221701446346,26.53795540688177,14.714959062336202
ID-208,9.043818025247218,152.87971776964832,0.23623798626133963,5.785215361817296,89.5176031233524
ID-209,13.006579118935718,124.5208745613695,0.004491014485667065,9.249835879794567,107.526126466949
ID-210,3.670952254266942,75.14828030096751,50.90444283336621,2.941645016394023,101.41748170130792
ID-301,6.655367366298167,189.06996743301576,2.5741904420408814,3.484508482593186,127.37319026741051
ID-302,6.802406887592748,89.85417438133295,2.2221952795668027,7.510995896900631,104.76851766582939
ID-303,4.409329819052204,55.00021644823962,24.326654458324427,6.47094326251389,68.7738014468358
ID-304,10.58181312583169,165.96761123580157,0.050746599598533206,6.025253687846354,113.54488804086768
ID-305,3.6538844644886836,47.43504256280397,51.78072599848927,4.587973890501271,63.914512106572644
ID-306,4.743004241092942,120.3538652824719,17.424865162431182,3.403093380712352,60.358285587759475
ID-307,4.601784313507647,73.75663863018167,20.067832220429995,5.251540015897281,84.88474843606822
ID-308,3.1074349686211993,93.76167422871609,89.43101007845479,1.0499256323768056,173.93251986063584
ID-309,3.144564495345666,40.94705443033899,86.17136795484637,2.6175746922774357,91.84535008312778
ID-310,6.190545544320045,157.03493287968755,4.097417573823474,3.856126980342486,92.09935618989977
ID-401,4.28865197086443,79.97885604518362,27.446824787478672,4.194680974603741,63.00270218702185
ID-402,3.445897230790227,16.81624069000892,63.75229789188733,10.377495759147362,28.11918481377235
ID-403,3.4230335388281103,62.212875872360584,65.2267017223058,2.726323151477874,77.93343474467223
ID-404,3.1581518776234487,39.652616705048715,85.00844308070631,2.7830262486538517,95.37420836936754
ID-405,2.7756482515496548,41.90709753027042,124.61814328504269,0.36666407001638013,91.56793979108569
ID-406,6.6344694578051655,146.5623656166158,2.6285516780259357,4.47933532473458,179.75676738039303
ID-407,3.4184097524125248,39.17078399096726,65.52899438945734,4.3046848148189545,32.10517735161249
ID-408,3.080094014460979,23.63914659099767,91.90987203481494,3.88933324586255,49.527961974558615
ID-409,4.798078915233333,83.7695199712704,16.49114457330778,4.9907136106037475,101.82493364902032
