ID,Volume Máximo,Óbito,Média
ID-101,1678.3,21,810.4625
ID-102,1563.7,21,669.5999999999999
ID-103,2405.7,15,640.3583333333332
ID-104,1964.2,16,595.476923076923
ID-105,2162.8,14,683.1454545454545
ID-106,2125.1,16,487.6461538461538
ID-107,2342.6,13,809.3
ID-108,2295.9,13,917.1125000000001
ID-201,1998.3,27,767.5315789473683
ID-202,2046.7,22,670.7875
ID-203,1938.5,22,345.48125
ID-204,1725.1,18,697.6266666666667
ID-205,1701.4,21,543.6062499999999
ID-206,1853.5,25,465.80000000000007
ID-207,445.2,28,128.6
ID-208,1784.9,18,682.6933333333333
ID-209,2269.3,25,642.1684210526316
ID-210,2114.6,27,844.1736842105264
ID-301,2058.7,13,788.4100000000001
ID-302,2362.4,28,694.35
ID-303,1714.0,28,538.13
ID-304,1958.9,18,620.6083333333333
ID-305,2157.4,27,544.0052631578948
ID-306,2159.6,20,771.9285714285714
ID-307,1970.2,25,594.8941176470589
ID-308,1268.3,14,661.7888888888889
ID-309,1065.0,28,521.6142857142856
ID-310,2188.7,24,1092.5157894736842
ID-401,1904.1,24,643.0125
ID-402,122.7,7,85.98333333333333
ID-403,898.8,28,530.8
ID-404,810.7,28,394.0052631578948
ID-405,1109.9,28,583.342857142857
ID-406,2343.0,22,845.4384615384616
ID-407,769.1,25,348.3588235294117
ID-408,523.3,25,259.3764705882353
ID-409,1694.2,25,678.25625
