ID,C,r,n0,RMSE
ID-101,30.72718645212525,0.25447859559271213,63.03742069968608,69.93659564575314
ID-102,16.95293011508376,0.17634799118922764,111.40242774741448,110.55378327660274
ID-103,127.78858162969993,0.4360274027761706,15.529327015577444,31.092972926999764
ID-104,46.57802489363848,0.2897924147170044,42.03621324069327,45.897682560315026
ID-105,1032.837399822035,0.6398376755168704,1.934540190115274,85.7879732873997
ID-106,50.03944058576521,0.26354962313103164,39.18538246200519,52.22150797004833
ID-107,130.06462420743972,0.5157081058619183,15.259647766086315,76.84025317443124
ID-108,127.59710900846714,0.5864682240855342,15.552449160177582,70.88576984306185
ID-201,41.98922447471547,0.20998672542150568,46.523286345310076,95.24134692586544
ID-202,24.875797074599493,0.21249050765421504,77.29230501514729,53.99777478457102
ID-203,155.63823809047395,0.2540474487670821,12.768274365067896,27.802851105279835
ID-204,79.6779386286877,0.3554199716717974,24.789924408019445,63.052282749272024
ID-205,188.24367832448715,0.304065162204086,10.568384728660234,110.14053765496358
ID-206,77.71220910600263,0.17302536206070646,25.40901878775346,25.997830829263844
ID-207,44.030486035112546,0.04596133103776466,44.414355164643325,14.55984023537389
ID-208,50.658650636806286,0.3080526811299556,38.7156841176765,59.573882708396994
ID-209,111.44055404077817,0.2672604583278428,17.787176673592977,77.12628061451143
ID-210,14.50830885546476,0.1588683151469679,128.9631267109597,98.45900595031311
ID-301,37.99143024949562,0.3986207568703322,51.29332233269056,128.17251709356634
ID-302,41.74984992968066,0.1953987669585428,46.783789961597655,95.92508479922957
ID-303,28.192006795758623,0.13825797448240826,68.51190512502157,68.04581216537558
ID-304,83.84003145059711,0.35950766655989347,23.573777211110684,84.97065853874219
ID-305,20.985017309298666,0.1241246803132398,90.97104504685063,68.39898838114392
ID-306,22.51641640866779,0.2586279623515227,85.0469716662625,59.91639580026385
ID-307,24.85621711185931,0.17010156709232338,77.35083563645792,105.2074219734982
ID-308,10.824573740293452,0.19879550298121032,169.1392894092067,191.3279187279138
ID-309,12.901779989194816,0.09515523849606909,143.8664690100479,110.89868206587813
ID-310,24.818445716686668,0.302550885417676,77.4639969402722,109.77247458623992
ID-401,22.274429649045388,0.18353527335512804,85.93121421912184,47.18132868669243
ID-402,29.964354693921862,0.07384453898209568,64.5903982101261,28.227697152008687
ID-403,15.27159321297016,0.14604402714500228,122.91359388248416,102.23396377808183
ID-404,13.427298235874881,0.09343381901977554,138.62609390210048,116.54697490467854
ID-405,9.802337041806558,0.09272775600898475,185.1451211214499,112.13259555103839
ID-406,35.21379688655037,0.2926441109387453,55.227569930475596,160.77325010461178
ID-407,18.723706752342057,0.10380535562725902,101.40081806694441,47.26894387427357
ID-408,18.285127424671877,0.074465567639696,103.70685948599734,46.28184839535457
ID-409,24.8508767182559,0.1833053010681353,77.36681512962379,108.48989081095577
