ID,Modelo Logístico,Modelo de Gompertz,Modelo Logístico Generalizado,Modelo de Gompertz Modificado
ID-301,128.17251709356634,127.37319026740776,127.1476750806334,127.37319026741052
ID-302,95.92508479922957,104.76851766593413,97.34967096181308,104.7685176658294
ID-303,68.04581216537558,68.77380144683583,67.40898289052694,68.7738014468358
ID-304,84.97065853874219,113.54488803867062,95.60192672016336,113.54488804086768
ID-305,68.39898838114392,63.91451210656415,65.71229859992074,63.91451210657264
ID-306,59.91639580026385,60.35828558774094,54.97677204126402,60.35828558775948
ID-307,105.2074219734982,84.8847484361399,95.40899831472632,84.88474843606822
ID-308,191.3279187279138,173.93251986157836,183.4498743861713,173.93251986063584
ID-309,110.89868206587812,91.8453500831692,102.94740534999292,91.84535008312778
ID-310,109.77247458623992,92.0993561847794,98.057382014197,92.09935618989977
